,game_id,matchday,team_homes,team_aways,p_home_win,p_away_win,p_draw,p_home_score,p_away_score
0,2228923,2,Udinese,Venezia,27.89,27.81,44.3,"[0.5740000000000001, 0.321, 0.087, 0.014000000000000002, 0.002, 0.0]","[0.5730000000000001, 0.32, 0.088, 0.015, 0.002, 0.0]"
1,2228924,3,Atalanta,Fiorentina,33.63,33.69,32.68,"[0.398, 0.36400000000000005, 0.169, 0.055, 0.013000000000000001, 0.002]","[0.397, 0.36500000000000005, 0.17, 0.054000000000000006, 0.013000000000000001, 0.002]"
2,2228926,3,Cagliari,Genoa,33.89,32.75,33.36,"[0.418, 0.36300000000000004, 0.159, 0.048, 0.009000000000000001, 0.001]","[0.427, 0.35900000000000004, 0.158, 0.042, 0.01, 0.002]"
3,2228927,3,Empoli,Venezia,30.78,30.61,38.62,"[0.49700000000000005, 0.35, 0.11900000000000001, 0.024999999999999998, 0.004, 0.0]","[0.501, 0.337, 0.125, 0.027, 0.004, 0.001]"
4,2228928,3,Milan,Lazio,37.23,37.12,25.65,"[0.251, 0.351, 0.23900000000000002, 0.108, 0.037000000000000005, 0.010000000000000002]","[0.254, 0.346, 0.241, 0.107, 0.038000000000000006, 0.010000000000000002]"
5,2228929,3,Napoli,Juventus,34.04,33.5,32.45,"[0.397, 0.36400000000000005, 0.17, 0.054, 0.011000000000000001, 0.002]","[0.4, 0.37000000000000005, 0.163, 0.051000000000000004, 0.012, 0.002]"
6,2228930,3,Roma,Sassuolo,36.8,36.69,26.51,"[0.25899999999999995, 0.355, 0.231, 0.105, 0.036000000000000004, 0.010000000000000002]","[0.264, 0.349, 0.234, 0.103, 0.037000000000000005, 0.009000000000000001]"
7,2228931,3,Sampdoria,Inter,34.41,34.85,30.73,"[0.36700000000000005, 0.36600000000000005, 0.18400000000000002, 0.06299999999999999, 0.015, 0.003]","[0.36500000000000005, 0.36300000000000004, 0.18600000000000003, 0.066, 0.016, 0.002]"
8,2228933,3,Torino,Salernitana,31.52,31.48,36.99,"[0.467, 0.35900000000000004, 0.133, 0.033, 0.007, 0.002]","[0.467, 0.36200000000000004, 0.132, 0.033, 0.006, 0.001]"
9,2228934,4,Empoli,Sampdoria,28.39,28.06,43.55,"[0.5670000000000001, 0.31799999999999995, 0.091, 0.018000000000000002, 0.003, 0.0]","[0.5690000000000001, 0.31999999999999995, 0.092, 0.015, 0.001, 0.0]"
10,2228935,4,Genoa,Fiorentina,33.52,33.35,33.12,"[0.402, 0.36700000000000005, 0.169, 0.05, 0.011000000000000003, 0.002]","[0.403, 0.37000000000000005, 0.164, 0.05, 0.012, 0.002]"
11,2228936,4,Verona,Roma,38.61,38.2,23.2,"[0.199, 0.314, 0.255, 0.143, 0.055999999999999994, 0.019000000000000003]","[0.202, 0.312, 0.256, 0.13699999999999998, 0.059, 0.02]"
12,2228937,4,Inter,Bologna,19.45,18.74,61.81,"[0.756, 0.21200000000000002, 0.029, 0.002, 0.0, 0.0]","[0.761, 0.20700000000000002, 0.028999999999999998, 0.002, 0.0, 0.0]"
13,2228938,4,Juventus,Milan,32.43,32.05,35.52,"[0.447, 0.35900000000000004, 0.144, 0.039, 0.008, 0.001]","[0.452, 0.35800000000000004, 0.13899999999999998, 0.041, 0.007, 0.001]"
14,2228939,4,Lazio,Cagliari,26.48,26.22,47.29,"[0.615, 0.29500000000000004, 0.07500000000000001, 0.013000000000000001, 0.001, 0.0]","[0.6160000000000001, 0.29900000000000004, 0.07200000000000001, 0.011, 0.001, 0.0]"
15,2228940,4,Salernitana,Atalanta,30.1,31.33,38.57,"[0.502, 0.343, 0.12300000000000001, 0.028, 0.004, 0.0]","[0.49300000000000005, 0.346, 0.125, 0.030000000000000002, 0.006, 0.0]"
16,2228941,4,Sassuolo,Torino,21.88,21.5,56.62,"[0.7120000000000001, 0.242, 0.043, 0.004, 0.0, 0.0]","[0.7160000000000001, 0.24000000000000002, 0.041, 0.004, 0.0, 0.0]"
17,2228942,4,Udinese,Napoli,34.23,33.92,31.85,"[0.391, 0.36400000000000005, 0.17, 0.056, 0.013999999999999999, 0.003]","[0.387, 0.37100000000000005, 0.171, 0.053000000000000005, 0.013999999999999999, 0.002]"
18,2228944,5,Atalanta,Sassuolo,38.38,37.64,23.98,"[0.20400000000000001, 0.321, 0.262, 0.13599999999999998, 0.055, 0.017]","[0.20500000000000002, 0.327, 0.262, 0.13, 0.054, 0.017]"
19,2228945,5,Bologna,Genoa,32.53,33.18,34.28,"[0.429, 0.36400000000000005, 0.152, 0.043000000000000003, 0.01, 0.002]","[0.424, 0.36400000000000005, 0.157, 0.043000000000000003, 0.01, 0.002]"
20,2228946,5,Cagliari,Empoli,29.86,29.09,41.05,"[0.536, 0.33299999999999996, 0.106, 0.023, 0.004, 0.0]","[0.542, 0.33499999999999996, 0.102, 0.019000000000000003, 0.004, 0.0]"
21,2228947,5,Fiorentina,Inter,34.98,34.36,30.66,"[0.36000000000000004, 0.36800000000000005, 0.18800000000000003, 0.064, 0.013999999999999999, 0.002]","[0.36500000000000005, 0.36200000000000004, 0.18800000000000003, 0.06299999999999999, 0.016, 0.002]"
22,2228948,5,Milan,Venezia,32.42,33.02,34.55,"[0.442, 0.36000000000000004, 0.146, 0.041, 0.008, 0.002]","[0.432, 0.36800000000000005, 0.148, 0.042, 0.008, 0.001]"
23,2228949,5,Roma,Udinese,27.83,27.58,44.58,"[0.5880000000000001, 0.31100000000000005, 0.083, 0.015, 0.002, 0.0]","[0.5890000000000001, 0.31000000000000005, 0.085, 0.013000000000000001, 0.002, 0.0]"
24,2228950,5,Salernitana,Verona,23.04,22.76,54.2,"[0.684, 0.261, 0.049, 0.007, 0.001, 0.0]","[0.687, 0.262, 0.047, 0.005, 0.001, 0.0]"
25,2228951,5,Sampdoria,Napoli,36.0,36.39,27.61,"[0.29800000000000004, 0.363, 0.215, 0.091, 0.026000000000000002, 0.006]","[0.29700000000000004, 0.357, 0.22, 0.089, 0.028000000000000004, 0.008]"
26,2228952,5,Spezia,Juventus,32.82,32.91,34.27,"[0.435, 0.36300000000000004, 0.151, 0.039, 0.009000000000000001, 0.001]","[0.437, 0.36100000000000004, 0.148, 0.043000000000000003, 0.008, 0.001]"
27,2228953,5,Torino,Lazio,32.97,32.58,34.45,"[0.433, 0.36200000000000004, 0.153, 0.041, 0.010000000000000002, 0.001]","[0.435, 0.36400000000000005, 0.149, 0.042, 0.008, 0.002]"
28,2228954,6,Empoli,Bologna,25.71,26.91,47.37,"[0.6220000000000001, 0.29300000000000004, 0.07100000000000001, 0.013000000000000001, 0.001, 0.0]","[0.611, 0.30500000000000005, 0.07200000000000001, 0.011, 0.001, 0.0]"
29,2228955,6,Genoa,Verona,33.82,33.16,33.02,"[0.402, 0.37000000000000005, 0.165, 0.053000000000000005, 0.010000000000000002, 0.002]","[0.404, 0.36800000000000005, 0.166, 0.049, 0.013000000000000001, 0.002]"
30,2228956,6,Inter,Atalanta,34.21,34.24,31.55,"[0.38500000000000006, 0.36500000000000005, 0.17900000000000002, 0.05500000000000001, 0.012, 0.003]","[0.384, 0.36600000000000005, 0.17500000000000002, 0.057, 0.015, 0.002]"
31,2228957,6,Juventus,Sampdoria,31.5,30.89,37.6,"[0.47700000000000004, 0.35600000000000004, 0.128, 0.032, 0.006, 0.0]","[0.48600000000000004, 0.34700000000000003, 0.127, 0.032, 0.006, 0.001]"
32,2228958,6,Lazio,Roma,35.09,35.57,29.35,"[0.325, 0.36900000000000005, 0.2, 0.07700000000000001, 0.020999999999999998, 0.005]","[0.327, 0.36300000000000004, 0.20500000000000002, 0.07700000000000001, 0.020000000000000004, 0.005]"
33,2228959,6,Napoli,Cagliari,32.13,32.7,35.17,"[0.444, 0.35800000000000004, 0.149, 0.041, 0.008, 0.0]","[0.438, 0.36300000000000004, 0.148, 0.041, 0.009000000000000001, 0.001]"
34,2228960,6,Sassuolo,Salernitana,27.46,27.57,44.97,"[0.5860000000000001, 0.31400000000000006, 0.08400000000000002, 0.013999999999999999, 0.001, 0.0]","[0.587, 0.31000000000000005, 0.084, 0.016, 0.002, 0.0]"
